Frame,Emotion Scores
75,"{'disgust': np.float64(0.0029851254448294644), 'fear': np.float64(0.19896039694547654), 'happy': np.float64(0.0006175536778755486), 'neutral': np.float64(0.0029461398348212243), 'sad': np.float64(0.008596693540457636), 'surprise': np.float64(0.40677464604377744), 'anger': np.float64(0.0015604589722352101)}"
76,"{'disgust': np.float64(0.0026782621070742607), 'fear': np.float64(0.17165508091449738), 'happy': np.float64(0.0006040725391358137), 'neutral': np.float64(0.002742467075586319), 'sad': np.float64(0.007571128429844974), 'surprise': np.float64(0.41909688115119936), 'anger': np.float64(0.0014426609803922473)}"
77,"{'disgust': np.float64(0.0026102338731288912), 'fear': np.float64(0.24140191644430162), 'happy': np.float64(0.0005992350983433425), 'neutral': np.float64(0.0022192859277129174), 'sad': np.float64(0.007859378159046174), 'surprise': np.float64(0.3905800998210907), 'anger': np.float64(0.0016032841202104464)}"
78,"{'disgust': np.float64(0.002105033360421658), 'fear': np.float64(0.15792990893125533), 'happy': np.float64(0.0006219774484634399), 'neutral': np.float64(0.0021282081678509713), 'sad': np.float64(0.003125468166545033), 'surprise': np.float64(0.42794851660728456), 'anger': np.float64(0.0014186728064669296)}"
79,"{'disgust': np.float64(0.0019578542187809944), 'fear': np.float64(0.16367971032857892), 'happy': np.float64(0.000617980700917542), 'neutral': np.float64(0.0018822936341166495), 'sad': np.float64(0.0028191195987164975), 'surprise': np.float64(0.42609221339225767), 'anger': np.float64(0.0014383565308526158)}"
80,"{'disgust': np.float64(0.0021337886527180673), 'fear': np.float64(0.28051874130964277), 'happy': np.float64(0.0006246568984352053), 'neutral': np.float64(0.001769391428679228), 'sad': np.float64(0.003616938872728497), 'surprise': np.float64(0.37703737914562224), 'anger': np.float64(0.0016475523490225897)}"
81,"{'disgust': np.float64(0.0022942042350769043), 'fear': np.float64(0.3019414258003235), 'happy': np.float64(0.0006337290396913886), 'neutral': np.float64(0.0018206679634749888), 'sad': np.float64(0.003884196318686009), 'surprise': np.float64(0.36780286729335787), 'anger': np.float64(0.0017311940895160661)}"
82,"{'disgust': np.float64(0.002307748682796955), 'fear': np.float64(0.38184520483016965), 'happy': np.float64(0.0005958989262580871), 'neutral': np.float64(0.0017010771483182909), 'sad': np.float64(0.00418504735454917), 'surprise': np.float64(0.3345468580722809), 'anger': np.float64(0.0017613423423608766)}"
83,"{'disgust': np.float64(0.0023711854964494706), 'fear': np.float64(0.3654122704267501), 'happy': np.float64(0.0005598551710136235), 'neutral': np.float64(0.0018352874740958213), 'sad': np.float64(0.004133319710381329), 'surprise': np.float64(0.3412517964839935), 'anger': np.float64(0.0017257388960570097)}"
84,"{'disgust': np.float64(0.0025257517769932745), 'fear': np.float64(0.36560227632522574), 'happy': np.float64(0.0005557974567636847), 'neutral': np.float64(0.0019745446369051935), 'sad': np.float64(0.0042015259154140954), 'surprise': np.float64(0.34087153673172), 'anger': np.float64(0.0017472574266139418)}"
85,"{'disgust': np.float64(0.003205306343734265), 'fear': np.float64(0.2827564287185668), 'happy': np.float64(0.0005929078324697912), 'neutral': np.float64(0.0025953420810401447), 'sad': np.float64(0.006769579807296396), 'surprise': np.float64(0.37298705279827116), 'anger': np.float64(0.0017377715348266063)}"
86,"{'disgust': np.float64(0.0035855237394571303), 'fear': np.float64(0.3148786032199859), 'happy': np.float64(0.0006072298507206142), 'neutral': np.float64(0.002765887398272753), 'sad': np.float64(0.007920449138619005), 'surprise': np.float64(0.3585871309041977), 'anger': np.float64(0.0019077551941154528)}"
87,"{'disgust': np.float64(0.0037816746905446055), 'fear': np.float64(0.1905880522727966), 'happy': np.float64(0.0006250824546441436), 'neutral': np.float64(0.0029940211400389673), 'sad': np.float64(0.007402185532264412), 'surprise': np.float64(0.41018821597099303), 'anger': np.float64(0.0018867196753853933)}"
88,"{'disgust': np.float64(0.004040345065295697), 'fear': np.float64(0.2316445595026016), 'happy': np.float64(0.0006480797892436385), 'neutral': np.float64(0.003117444515228272), 'sad': np.float64(0.008015830237418415), 'surprise': np.float64(0.3924370169639587), 'anger': np.float64(0.0020506866183131935)}"
89,"{'disgust': np.float64(0.0041380076110363005), 'fear': np.float64(0.28965673685073845), 'happy': np.float64(0.0006731366273015737), 'neutral': np.float64(0.0031294974684715274), 'sad': np.float64(0.008562572458758952), 'surprise': np.float64(0.3678997218608856), 'anger': np.float64(0.0021490799600724134)}"
90,"{'disgust': np.float64(0.003680750653147698), 'fear': np.float64(0.27932627677917476), 'happy': np.float64(0.0006506747216917574), 'neutral': np.float64(0.0029087352752685544), 'sad': np.float64(0.005599108710885048), 'surprise': np.float64(0.37414557933807374), 'anger': np.float64(0.002085428860737011)}"
91,"{'disgust': np.float64(0.003546626269817353), 'fear': np.float64(0.22580502480268477), 'happy': np.float64(0.0006412484566681087), 'neutral': np.float64(0.00294047724455595), 'sad': np.float64(0.004278969937004149), 'surprise': np.float64(0.39713187217712403), 'anger': np.float64(0.0018862398032797503)}"
92,"{'disgust': np.float64(0.003975327089428902), 'fear': np.float64(0.21453451484441755), 'happy': np.float64(0.0006498021422885359), 'neutral': np.float64(0.0030487763509154317), 'sad': np.float64(0.004515268332324922), 'surprise': np.float64(0.40131577253341677), 'anger': np.float64(0.0018420320231234653)}"
93,"{'disgust': np.float64(0.003957818150520325), 'fear': np.float64(0.16330945283174514), 'happy': np.float64(0.0006620414671488107), 'neutral': np.float64(0.0032809612527489665), 'sad': np.float64(0.003944079084321856), 'surprise': np.float64(0.4226541221141815), 'anger': np.float64(0.0016779607837088407)}"
94,"{'disgust': np.float64(0.004201983660459518), 'fear': np.float64(0.14168161779642105), 'happy': np.float64(0.0006549155921675264), 'neutral': np.float64(0.0033966637775301933), 'sad': np.float64(0.004113387251272798), 'surprise': np.float64(0.43129380941390993), 'anger': np.float64(0.001708011596929282)}"
95,"{'disgust': np.float64(0.004377396032214165), 'fear': np.float64(0.1129524287581444), 'happy': np.float64(0.000648267730139196), 'neutral': np.float64(0.003971210829913616), 'sad': np.float64(0.004040851187892259), 'surprise': np.float64(0.44248353242874144), 'anger': np.float64(0.0016619481332600119)}"
96,"{'disgust': np.float64(0.004292673394083977), 'fear': np.float64(0.11983874022960664), 'happy': np.float64(0.000649378274101764), 'neutral': np.float64(0.003928968198597432), 'sad': np.float64(0.004126958409324288), 'surprise': np.float64(0.439668744802475), 'anger': np.float64(0.001730126656475477)}"
